scorer,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000
bodyparts,jaw,jaw,jaw,toe-bot,toe-bot,toe-bot,toe-top,toe-top,toe-top,tongue,tongue,tongue
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,623.666787147522,284.25958704948425,1.0,224.366144657135,451.5676202774048,1.0,213.21092987060547,142.33623790740967,1.0,637.9680361747742,282.56757628917694,0.000745820056181401
1,623.2468209266663,284.3515692651272,1.0,224.36614441871643,451.56761932373047,1.0,213.2109706401825,142.33622074127197,1.0,637.7446876764297,282.6832957267761,0.0006494511617347598
2,623.1904554367065,284.4126277565956,1.0,224.36849761009216,451.56159925460815,1.0,213.20925569534302,142.33709621429443,1.0,637.7525234222412,282.68503272533417,0.0006505749188363552
3,623.2188539505005,284.23220209777355,1.0,224.38287115097046,451.55917978286743,1.0,213.22983407974243,142.35070419311523,1.0,637.7912863492966,282.6367905139923,0.0006160170887596905
4,623.2720069885254,284.13622994720936,1.0,224.21975755691528,451.8601641654968,1.0,213.2075023651123,142.3138256072998,1.0,638.2702586650848,282.727179646492,0.0007606408908031881
5,623.5936870574951,283.98581251781434,1.0,224.2155179977417,451.7385106086731,1.0,213.2198623418808,142.3205337524414,1.0,638.1588153839111,282.5956461429596,0.0009116498404182494
6,623.5792617797852,284.12660570442677,1.0,224.33031272888184,451.6748847961426,1.0,213.09726428985596,142.26123237609863,1.0,638.2190504074097,282.3442738056183,0.0008673547417856753
7,623.5869731903076,284.08517023921013,1.0,224.397221326828,451.47181606292725,1.0,213.2218451499939,142.33966732025146,1.0,638.1697285175323,282.4613913297653,0.000713649729732424
8,624.1365306377411,284.11723804473877,1.0,224.32168889045715,451.5285105705261,1.0,213.21505677700043,142.31889247894287,1.0,638.1602540016174,282.3674740791321,0.0006875306717120111
9,624.8440001010895,284.0747247710824,1.0,224.3186423778534,451.7426233291626,1.0,213.20902955532074,142.32274913787842,1.0,638.264416217804,282.76679277420044,0.00046107833622954786
10,624.8027002811432,284.1915263682604,1.0,224.25714826583862,451.71267890930176,1.0,213.11268889904022,142.27572536468506,1.0,638.2637512683868,282.6098610162735,0.0004978610668331385
11,624.8903443813324,284.12019727379084,1.0,224.22299432754517,451.6597971916199,1.0,213.2207988500595,142.33601474761963,1.0,638.3031651973724,282.81291568279266,0.0004532278107944876
12,624.8634567260742,284.08173731714487,1.0,224.22953486442566,451.65593338012695,1.0,213.29217791557312,142.30458164215088,1.0,638.2939891815186,282.72984433174133,0.0004570137243717909
13,624.8212587833405,284.0657152235508,1.0,224.22905659675598,451.6488084793091,1.0,213.29112994670868,142.27639770507812,1.0,638.281017780304,282.740168094635,0.0004573209735099226
14,624.731169462204,284.3046340942383,1.0,224.22418093681335,451.6444592475891,1.0,213.29318845272064,142.2706995010376,1.0,638.3175873756409,282.78444039821625,0.00045317449257709086
15,624.7911603450775,284.27268409729004,1.0,224.2431778907776,451.659010887146,1.0,213.30062639713287,142.25014781951904,1.0,638.261159658432,282.699907541275,0.0004620005202013999
16,624.4625294208527,284.1409901678562,1.0,224.21216297149658,451.67042303085327,1.0,213.29508256912231,142.25074291229248,1.0,638.1284925937653,282.6965025663376,0.00045116781257092953
17,624.6904814243317,284.18728399276733,1.0,224.20355772972107,451.66761112213135,1.0,213.29474079608917,142.25104904174805,1.0,638.3821136951447,282.80245077610016,0.0004341012972872704
18,624.7093453407288,284.24134118855,1.0,224.22208046913147,451.5902409553528,1.0,213.28959465026855,142.25199222564697,1.0,638.4172804355621,282.81990683078766,0.00042249957914464176
19,624.7378957271576,284.3713072538376,1.0,224.22849416732788,451.6782503128052,1.0,213.28286039829254,142.2500286102295,1.0,638.3987829685211,282.87996804714203,0.00038808962563052773
20,624.7331147193909,284.3527286350727,1.0,224.21879506111145,451.67067289352417,1.0,213.28286945819855,142.25001430511475,1.0,638.3952016830444,282.8496069908142,0.0003953964915126562
21,624.8244624137878,284.3194332420826,1.0,224.21629524230957,451.58547925949097,1.0,213.28288114070892,142.2500171661377,1.0,638.4191522598267,282.8898903131485,0.00041398449684493244
22,624.7858817577362,284.23607954382896,1.0,224.2184557914734,451.6745386123657,1.0,213.28288102149963,142.250018119812,1.0,638.4148375988007,282.89099156856537,0.00040780712151899934
23,624.7845692634583,284.1286659836769,1.0,224.21835780143738,451.681293964386,1.0,213.2828837633133,142.2500171661377,1.0,638.3611741065979,282.7686537504196,0.00043644048855639994
24,624.7459766864777,284.0531568750739,1.0,224.21699690818787,451.64734840393066,1.0,213.28288400173187,142.25001907348633,1.0,638.3190925121307,282.68054723739624,0.0004610941687133163
